barcode	disease	Site.Primary	Histology	Hist.Subtype1	tcga.tumor	CCLE.name
CHP126	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	CHP126_AUTONOMIC_GANGLIA
CHP212	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	CHP212_AUTONOMIC_GANGLIA
IMR32	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	IMR32_AUTONOMIC_GANGLIA
KELLY	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	KELLY_AUTONOMIC_GANGLIA
KPNRTBM1	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	KPNRTBM1_AUTONOMIC_GANGLIA
KPNSI9S	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	KPNSI9S_AUTONOMIC_GANGLIA
KPNYN	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	KPNYN_AUTONOMIC_GANGLIA
MHHNB11	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	MHHNB11_AUTONOMIC_GANGLIA
NB1	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	NB1_AUTONOMIC_GANGLIA
NH6	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	NH6_AUTONOMIC_GANGLIA
SIMA	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	SIMA_AUTONOMIC_GANGLIA
SKNAS	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	SKNAS_AUTONOMIC_GANGLIA
SKNDZ	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	SKNDZ_AUTONOMIC_GANGLIA
SKNFI	OTHER	autonomic_ganglia	neuroblastoma	NS	neuroblastoma	SKNFI_AUTONOMIC_GANGLIA
HUCCT1	CHOL	biliary_tract	carcinoma	NS	CHOL	HUCCT1_BILIARY_TRACT
SNU1079	CHOL	biliary_tract	carcinoma	NS	CHOL	SNU1079_BILIARY_TRACT
SNU1196	CHOL	biliary_tract	carcinoma	NS	CHOL	SNU1196_BILIARY_TRACT
SNU245	CHOL	biliary_tract	carcinoma	NS	CHOL	SNU245_BILIARY_TRACT
SNU308	CHOL	biliary_tract	carcinoma	NS	CHOL	SNU308_BILIARY_TRACT
SNU478	CHOL	biliary_tract	carcinoma	NS	CHOL	SNU478_BILIARY_TRACT
SNU869	CHOL	biliary_tract	carcinoma	NS	CHOL	SNU869_BILIARY_TRACT
CAL78	SARC	bone	chondrosarcoma	dedifferentiated	chondrosarcoma	CAL78_BONE
HS819T	SARC	bone	chondrosarcoma	NS	chondrosarcoma	HS819T_BONE
SW1353	SARC	bone	chondrosarcoma	NS	chondrosarcoma	SW1353_BONE
A673	SARC	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	Ewings sarcoma peripheral primitive neuroectodermal tumour	A673_BONE
CADOES1	SARC	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	Ewings sarcoma peripheral primitive neuroectodermal tumour	CADOES1_BONE
